software_string,type,cpe_part,vendor,product,cna_source,cpe_combined_score,vendor_similarity_score,product_similarity_score,vendor_simple_similarity,product_simple_similarity,vendor_product_count,vendor_vulnerability_count,product_vulnerability_count,recommender_level,recommender_order,recommender_type
Mandriva:Linux,SOFTWARE,a,cryptodev-linux,-,UNKNOWN,0.94,0.00961788,-0.010211397,0.422577127,0,17,0,0,VENDOR,REJECT,application
Mandriva:Linux,SOFTWARE,o,conectiva,linux,UNKNOWN,0.9313,0.233013064,-0.052203546,0.476731295,1,22,0,0,VENDOR,REJECT,operatingsystem
Mandriva:Linux,SOFTWARE,o,antixlinux,antix_linux,UNKNOWN,0.9311,0.038170805,-0.060576317,0.474341649,0.894427191,3,1,1,VENDOR,REJECT,operatingsystem
Mandriva:Linux,SOFTWARE,a,linux-atm,linux-atm,UNKNOWN,0.9302,0.028082198,-0.011193377,0.559016994,0.790569415,4,0,0,VENDOR,REJECT,application
Mandriva:Linux,SOFTWARE,a,linux-atm,-,UNKNOWN,0.9302,0.028082198,-0.010211397,0.559016994,0,4,0,0,VENDOR,REJECT,application
Mandriva:Linux,SOFTWARE,a,connectiva,linux,UNKNOWN,0.9268,-0.030445514,-0.052203546,0.507092553,1,6,0,0,VENDOR,REJECT,application
Mandriva:Linux,SOFTWARE,a,linux-ha,-,UNKNOWN,0.9174,0.034532596,-0.010211397,0.478091444,0,8,0,0,VENDOR,REJECT,application
Mandriva:Linux,SOFTWARE,a,linux-ha,heartbeat,UNKNOWN,0.8746,0.034532596,0.057517168,0.478091444,0,8,0,0,VENDOR,REJECT,application
Mandriva:Linux,SOFTWARE,a,linux-ha,ha,UNKNOWN,0.8106,0.034532596,0.071527974,0.478091444,0,8,0,0,VENDOR,REJECT,application
Mandriva:Linux,SOFTWARE,o,mxlinux,mx_linux,UNKNOWN,0.9126,0.097631876,0.040949525,0.316227766,0.894427191,3,1,1,VENDOR,REJECT,operatingsystem
Mandriva:Linux,SOFTWARE,o,backbox,backbox_linux,UNKNOWN,0.8971,-0.291335081,-0.009116041,0.210818511,0.670820393,15,0,0,VENDOR,REJECT,operatingsystem
Mandriva:Linux,SOFTWARE,o,archlinux,arch_linux,"GitHub, Inc.",0.8856,-0.618116812,-0.035529779,0.527046277,0.745355992,3,1,1,VENDOR,REJECT,operatingsystem
Mandriva:Linux,SOFTWARE,a,alpinelinux,alpine_linux,UNKNOWN,0.8611,0.057669642,-0.104496791,0.460178993,0.867721831,443,0,0,VENDOR,REJECT,application
Mandriva:Linux,SOFTWARE,o,gentoo,linux,UNKNOWN,0.831,0.040248587,-0.052203546,0.111803399,1,211,1,0,VENDOR,REJECT,operatingsystem
Mandriva:Linux,SOFTWARE,a,gentoo,linux_webapp-config,UNKNOWN,0.7783,0.040248587,-0.008023397,0.111803399,0.652753366,211,1,0,VENDOR,REJECT,application
Mandriva:Linux,SOFTWARE,o,manjaro,manjaro_linux,UNKNOWN,0.8286,-0.18235816,0.059766979,0.737864787,0.670820393,9,0,0,VENDOR,REJECT,operatingsystem
Apple:Interactive Television Box,HARDWARE,a,f5,big-ip_global_traffic_manager,F5 Networks,0.9692,0.235597012,0.215295452,0,0.581387733,3642,3584,261,PRODUCT,LOW,application
Mandriva:Linux,SOFTWARE,o,slackware,slackware_linux,UNKNOWN,0.7683,-0.254399952,-0.038786484,0.476731295,0.632455532,25,0,0,VENDOR,REJECT,operatingsystem
Mandriva:Linux,SOFTWARE,o,corel,linux,UNKNOWN,0.7528,-0.01339003,-0.052203546,0.141421356,1,118,0,0,VENDOR,REJECT,operatingsystem
Mandriva:Linux,SOFTWARE,a,codesys,linux,Talos,0.72,0.0658058,-0.052203546,0.105409255,1,753,74,0,VENDOR,REJECT,application
Toshiba:Satellite,HARDWARE,a,f5,big-ip_global_traffic_manager,F5 Networks,0.9009,0.185854207,0.086187883,0,0.512989176,3642,3584,261,PRODUCT,LOW,application
Amazon:Echo Show,HARDWARE,a,f5,big-ip_global_traffic_manager,F5 Networks,0.8958,0.301854877,0.130258003,0,0.152943823,3642,3584,261,PRODUCT,LOWEST,application
Apple:Network Server,HARDWARE,a,f5,big-ip_application_acceleration_manager,F5 Networks,0.9659,0.235597012,0.156153351,0,0.403347339,3642,3584,257,PRODUCT,LOW,application
Mandriva:Linux,SOFTWARE,o,novell,suse_linux,UNKNOWN,0.712,0.110979706,-0.046466577,0.223606798,0.744208408,602,0,0,VENDOR,REJECT,operatingsystem
Mandriva:Linux,SOFTWARE,a,novell,groupwise_webaccess,UNKNOWN,0.6633,0.110979706,0.014432639,0.223606798,0.153392998,602,0,0,VENDOR,REJECT,application
Google:Chrome Remote Desktop Host,SOFTWARE,a,f5,big-ip_application_acceleration_manager,F5 Networks,0.9571,0.329513445,0.152683771,0,0.446010619,3642,3584,257,PRODUCT,LOW,application
Mandriva:Linux,SOFTWARE,h,iij,seil\/x2,UNKNOWN,0.7032,0.1124961,-0.03145019,0.282842712,0.547722558,1007,0,0,VENDOR,REJECT,hardware
Mandriva:Linux,SOFTWARE,h,iij,seil_x2,UNKNOWN,0.6952,0.1124961,-0.047219663,0.282842712,0.547722558,1007,0,0,VENDOR,REJECT,hardware
Mandriva:Linux,SOFTWARE,h,iij,seil\/x1,UNKNOWN,0.6868,0.1124961,0.004011286,0.282842712,0.547722558,1007,0,0,VENDOR,REJECT,hardware
Mandriva:Linux,SOFTWARE,h,iij,seil_x1,UNKNOWN,0.6853,0.1124961,-0.039921375,0.282842712,0.547722558,1007,0,0,VENDOR,REJECT,hardware
